ODBIORCY_ID_FK;KONTA_STATUSY_SYMBOL;DOKUMENT_ID;DOKUMENT_NUMER;KWOTA_BRUTTO_ORYGINAL;KWOTA_NETTO_ORYGINAL;KWOTA_VAT_ORYGINAL;KWOTA_POZOSTALA;DATA_WYSTAWIENIA;DATA_ZAPLATY;DATA_KSIEGOWANIA
1085306;K;28278134;0035074296;-40,16;-32,65;-7,51;-40,16;27/06/2012 00:00:00;11/07/2012 00:00:00;08/11/2018 00:00:00
1085940;K;8419094;7812005873;-392,98;-319,49;-73,49;-325,13;02/06/2015 00:00:00;02/06/2015 00:00:00;08/11/2018 00:00:00
1086041;K;23168745;1405015983;-2,43;-1,97;-0,46;-2,43;23/01/2013 00:00:00;06/02/2013 00:00:00;08/11/2018 00:00:00
1086084;K;23151548;8410543100;-21,52;-17,5;-4,02;-21,52;02/10/2013 00:00:00;16/10/2013 00:00:00;08/11/2018 00:00:00
1086225;K;28135974;6735496225;-205,99;-167,45;-38,54;-202,27;15/11/2012 00:00:00;30/11/2012 00:00:00;08/11/2018 00:00:00
1086269;K;23075894;8410178962;-46,36;-37,67;-8,69;-15,63;16/04/2013 00:00:00;30/04/2013 00:00:00;08/11/2018 00:00:00
1086269;K;23138330;4125093161;-0,33;-0,27;-0,06;-0,33;29/11/2013 00:00:00;13/12/2013 00:00:00;08/11/2018 00:00:00
1086305;K;28106287;7810982626;-0,73;-0,6;-0,13;-0,73;03/03/2014 00:00:00;17/03/2014 00:00:00;08/11/2018 00:00:00
1086492;K;28272385;0135017001;-29,69;-24,15;-5,54;-25,41;22/02/2013 00:00:00;08/03/2013 00:00:00;08/11/2018 00:00:00
1086610;K;23092744;7810174158;-166,43;-135,3;-31,13;-96,17;12/04/2013 00:00:00;26/04/2013 00:00:00;08/11/2018 00:00:00
1086729;K;23168369;0355049448;-251,85;-204,75;-47,1;-36,89;04/10/2013 00:00:00;04/10/2013 00:00:00;08/11/2018 00:00:00
1086801;K;23120744;8410210441;-2,92;-2,39;-0,53;-2,92;30/04/2013 00:00:00;14/05/2013 00:00:00;08/11/2018 00:00:00
1086879;K;23138334;3225019579;-16,41;-13,34;-3,07;-16,06;09/12/2013 00:00:00;23/12/2013 00:00:00;08/11/2018 00:00:00
1087021;K;23289500;7810562703;-64,69;-52,58;-12,11;-64,69;28/08/2013 00:00:00;11/09/2013 00:00:00;08/11/2018 00:00:00
1087099;K;7371519;4730191554;-160,89;-130,8;-30,09;-53,94;07/04/2015 00:00:00;07/04/2015 00:00:00;08/11/2018 00:00:00
1087099;K;7371520;4730191555;-345,25;-280,7;-64,55;-24,64;07/04/2015 00:00:00;07/04/2015 00:00:00;08/11/2018 00:00:00
1087197;K;23131595;1705020846;-16,5;-13,43;-3,07;-15,81;30/10/2013 00:00:00;13/11/2013 00:00:00;08/11/2018 00:00:00
1087249;K;23135950;1405005765;-0,02;-0,02;0;-0,02;01/03/2012 00:00:00;15/03/2012 00:00:00;08/11/2018 00:00:00
1087256;K;23168585;0135019107;-281,59;-228,91;-52,68;-164,42;03/06/2013 00:00:00;17/06/2013 00:00:00;08/11/2018 00:00:00
1087284;K;28291082;1405020388;-3,37;-2,72;-0,65;-3,37;06/08/2013 00:00:00;20/08/2013 00:00:00;08/11/2018 00:00:00
1087533;K;23127848;7810757150;-325,61;-264,73;-60,88;-324,33;15/11/2013 00:00:00;29/11/2013 00:00:00;08/11/2018 00:00:00
1087583;K;28114244;7810840261;-101,05;-82,16;-18,89;-101,05;18/12/2013 00:00:00;02/01/2014 00:00:00;08/11/2018 00:00:00
1087586;K;23156031;1405019501;-354,18;-287,96;-66,22;-61,23;03/07/2013 00:00:00;09/07/2013 00:00:00;08/11/2018 00:00:00
1087594;K;7436601;7811528571;-22,22;-18,06;-4,16;-22,21;18/09/2014 00:00:00;18/09/2014 00:00:00;08/11/2018 00:00:00
